epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,64.0,1e-05,no,6.0,wbce,"(40, 20, 10)",0.6543040831820054
15.0,64.0,1e-05,no,6.0,wbce,"(60, 30, 15)",0.6507424175720687
15.0,64.0,1e-05,no,9.0,bce,"(20, 10, 5)",0.6644111482139979
15.0,64.0,1e-05,no,9.0,bce,"(40, 20, 10)",0.6835908351901075
15.0,64.0,1e-05,no,9.0,bce,"(60, 30, 15)",0.7090803148781286
15.0,64.0,1e-05,no,9.0,wbce,"(20, 10, 5)",0.6372498634842012
15.0,64.0,1e-05,no,9.0,wbce,"(40, 20, 10)",0.6427895559489278
15.0,64.0,1e-05,no,9.0,wbce,"(60, 30, 15)",0.6657919080770146
15.0,64.0,1e-05,no,12.0,bce,"(20, 10, 5)",0.6694639400423422
15.0,64.0,1e-05,no,12.0,bce,"(40, 20, 10)",0.7027327461280825
15.0,64.0,1e-05,no,12.0,bce,"(60, 30, 15)",0.6980428674915587
15.0,64.0,1e-05,no,12.0,wbce,"(20, 10, 5)",0.6493800232758405
15.0,64.0,1e-05,no,12.0,wbce,"(40, 20, 10)",0.6598169201114139
15.0,64.0,1e-05,no,12.0,wbce,"(60, 30, 15)",0.6829360272744293
20.0,16.0,0.001,yes,6.0,bce,"(20, 10, 5)",0.7559199424651695
