epochs,batch_size,init_lr,lr_red,model_depth,loss,kernel_size,auc
15.0,32.0,0.001,no,9.0,wbce,"(20, 10, 5)",0.7753195045053761
15.0,32.0,0.001,no,9.0,wbce,"(40, 20, 10)",0.77067950715408
15.0,32.0,0.001,no,9.0,wbce,"(60, 30, 15)",0.7435233817857142
15.0,32.0,0.001,no,12.0,bce,"(20, 10, 5)",0.770644034665175
15.0,32.0,0.001,no,12.0,bce,"(40, 20, 10)",0.7565015380540965
15.0,32.0,0.001,no,12.0,bce,"(60, 30, 15)",0.7535181966948782
15.0,32.0,0.001,no,12.0,wbce,"(20, 10, 5)",0.765800363305682
15.0,32.0,0.001,no,12.0,wbce,"(40, 20, 10)",0.7657827114228635
15.0,32.0,0.001,no,12.0,wbce,"(60, 30, 15)",0.749156580691165
15.0,32.0,0.0001,yes,6.0,bce,"(20, 10, 5)",0.6527842730173239
15.0,32.0,0.0001,yes,6.0,bce,"(40, 20, 10)",0.6618692538559602
15.0,32.0,0.0001,yes,6.0,bce,"(60, 30, 15)",0.6754637895948568
15.0,32.0,0.0001,yes,6.0,wbce,"(20, 10, 5)",0.6028601236939637
15.0,32.0,0.0001,yes,6.0,wbce,"(40, 20, 10)",0.6283626866643379
15.0,32.0,0.0001,yes,6.0,wbce,"(60, 30, 15)",0.661428341980027
15.0,32.0,0.0001,yes,9.0,bce,"(20, 10, 5)",0.5976215988792323
15.0,32.0,0.0001,yes,9.0,bce,"(40, 20, 10)",0.6835220823742807
15.0,32.0,0.0001,yes,9.0,bce,"(60, 30, 15)",0.6718915607146778
15.0,32.0,0.0001,yes,9.0,wbce,"(20, 10, 5)",0.6231120281096749
15.0,32.0,0.0001,yes,9.0,wbce,"(40, 20, 10)",0.6441151360456068
15.0,32.0,0.0001,yes,9.0,wbce,"(60, 30, 15)",0.6376792217119948
15.0,32.0,0.0001,yes,12.0,bce,"(20, 10, 5)",0.6450468761880113
15.0,32.0,0.0001,yes,12.0,bce,"(40, 20, 10)",0.6665466052274437
